index,Biomass,Substrate,Acetate,DOTm,Product,Volume,Feed
28/06/2021 09:41:57,,,,,,0.01,0.0
28/06/2021 09:53:38,,,,98.39017885922682,,,0.0
28/06/2021 09:54:49,,,,100.0,,,0.0
28/06/2021 09:55:59,,,,98.6401618753598,,,0.0
28/06/2021 09:57:10,,,,97.42051668908587,,,0.0
28/06/2021 09:58:21,,,,98.94603411824812,,,0.0
28/06/2021 09:59:32,,,,97.85259984464359,,,0.0
28/06/2021 10:00:04,,,,,,0.009784902777777778,0.0
28/06/2021 10:00:05,0.22747552712149438,3.0323019288233706,0.006260245227949539,,0.010896889164771478,,0.0
28/06/2021 10:00:43,,,,100.0,,,0.0
28/06/2021 10:01:53,,,,99.9188510862041,,,0.0
28/06/2021 10:02:43,,,,,,0.009897694444444445,0.0
28/06/2021 10:03:04,,,,99.66215120174832,,,0.0
28/06/2021 10:04:15,,,,98.92081454416228,,,0.0
28/06/2021 10:05:26,,,,100.0,,,0.0
28/06/2021 10:06:37,,,,98.6499319484703,,,0.0
28/06/2021 10:07:48,,,,98.26275621025576,,,0.0
28/06/2021 10:08:58,,,,98.77021117873632,,,0.0
28/06/2021 10:10:09,,,,97.96428401491382,,,0.0
28/06/2021 10:11:20,,,,99.51090469295441,,,0.0
28/06/2021 10:12:31,,,,99.39057233386538,,,0.0
28/06/2021 10:13:42,,,,97.34042935358116,,,0.0
28/06/2021 10:14:53,,,,97.08587464023167,,,0.0
28/06/2021 10:16:04,,,,98.90803689327171,,,0.0
28/06/2021 10:16:12,,,,,,0.009686458333333333,0.0
28/06/2021 10:17:15,,,,99.73358392358918,,,0.0
28/06/2021 10:18:25,,,,98.89816604938231,,,0.0
28/06/2021 10:18:58,,,,,,0.009799152777777778,0.0
28/06/2021 10:19:36,,,,98.12579791014694,,,0.0
28/06/2021 10:20:47,,,,97.99869673264736,,,0.0
28/06/2021 10:21:58,,,,98.0022193739207,,,0.0
28/06/2021 10:23:09,,,,98.51723471385921,,,0.0
28/06/2021 10:24:20,,,,97.22619636986721,,,0.0
28/06/2021 10:25:30,,,,98.68410020844506,,,0.0
28/06/2021 10:26:41,,,,97.95740321332164,,,0.0
28/06/2021 10:27:52,,,,96.78342447704455,,,0.0
28/06/2021 10:28:50,,,,,,0.009905930555555557,0.0
28/06/2021 10:29:03,,,,97.01311709628641,,,0.0
28/06/2021 10:30:14,,,,99.20417790940327,,,0.0
28/06/2021 10:31:25,,,,99.28325562305392,,,0.0
28/06/2021 10:32:35,,,,98.14801034965802,,,0.0
28/06/2021 10:33:46,,,,97.70927682573371,,,0.0
